year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 1,nursing,No,To go to class,2,20,2024-10-14,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:00:00,Sunny,40,8,6,10,2,5,9,7
Year 4,life sciences,No,To go to CCA sessions,2,15,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 09:45:00,Sunny,30,10,2,9,2,3,3,3
Year 3,data science and analytics,No,To go to class,4,30,2024-10-07,No,COM3,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,25,10,3,7,5,7,8,6
Year 3,data science and analytics,No,To go to class,2,25,2024-10-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 10:40:00,Rainy,20,4,7,7,6,7,8,7
Year 1,data science and analytics,No,To go to class,4,30,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 07:35:00,Rainy,30,6,5,8,4,5,7,7
Year 3,statistics,No,To go to class,1,5,2024-10-02,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 18:00:00,Sunny,10,5,5,6,6,5,5,5
Year 2,geography,No,To go to class,2,10,2024-10-03,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:40:00,Sunny,20,10,6,9,5,6,7,5
Year 4,materials science and engineering,No,To go for meals,2,20,2024-10-17,No,LT27 / S17,IT / CLB,A1,1900-01-01 12:20:00,Sunny,15,2,9,7,5,6,5,7
Year 1,computer science,Yes,To go for meals,4,45,2024-10-15,No,PGP,UTown,D2,1900-01-01 12:00:00,Sunny,20,10,7,9,6,8,8,8
Year 4,data science and analytics,No,To go to MRT,2,10,2024-10-01,No,UHC / Opp UHC,LT27 / S17,D2,1900-01-01 15:45:00,Sunny,30,5,6,9,2,6,6,6
Year 1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,UTown,IT / CLB,D1,1900-01-01 10:55:00,Sunny,30,3,9,4,8,8,8,8
Year 3,history,No,To go to class,2,25,2024-10-14,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 11:40:00,Rainy,40,5,7,10,5,6,9,7
Year 1,nursing,No,To go to class,2,30,2024-10-09,Yes,UHC / Opp UHC,LT27 / S17,D2,1900-01-01 10:40:00,Rainy,70,10,4,10,1,4,7,4
Year 3,data science and analytics,No,To go to class,3,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:30:00,Sunny,10,8,5,3,8,5,9,6
Year 1,economics,No,To go to class,2,20,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 11:45:00,Rainy,30,15,7,7,7,7,7,7
Year 3,data science and analytics,No,To go to MRT,2,25,2024-09-19,No,COM3,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,15,5,6,6,6,7,8,7
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,Yes,IT / CLB,PGP,A2,1900-01-01 18:50:00,Sunny,20,6,7,7,8,9,10,8
Year 2,business,Yes,To go to class,2,30,2024-09-26,No,BIZ2 / Opp HSSML,UTown,D1,1900-01-01 21:30:00,Sunny,5,12,4,1,10,8,9,6
Year 2,history,No,To go to class,4,20,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:30:00,Sunny,20,10,4,9,4,4,4,4
Year 3,business analytics,No,To go to class,3,30,2024-10-07,Yes,UHC / Opp UHC,LT27 / S17,D2,1900-01-01 11:40:00,Sunny,20,6,7,7,7,7,7,7
Year 2,accountancy,No,To go to class,3,40,2024-10-01,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:00:00,Sunny,20,15,2,8,3,4,1,1
Year 1,chemistry,No,To go to class,4,12,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:00:00,Sunny,5,5,8,8,8,8,8,9
Year 4,political science,No,To go to class,4,45,2024-10-10,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 18:10:00,Sunny,30,15,2,9,3,6,6,4
Year 1,law,No,To go to class,3,30,2024-10-14,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 08:45:00,Rainy,40,15,4,10,2,4,4,5
Year 4,psychology,No,To go to class,2,30,2024-10-17,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Rainy,25,5,6,7,5,6,8,6
Year 4,life sciences,No,To go to CCA sessions,2,15,2024-10-15,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 17:15:00,Sunny,15,4,5,7,5,5,6,6
Year 3,business,No,To go to MRT,2,30,2024-09-20,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:40:00,Sunny,10,6,6,6,5,9,9,8
Year 2,computer science,Yes,To go to class,2,30,2024-09-29,No,UTown,LT27 / S17,D2,1900-01-01 13:12:00,Sunny,10,10,6,7,5,8,6,5
Year 3,nursing,No,To go to class,2,40,2024-09-26,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:00:00,Sunny,20,10,8,2,9,9,9,9
Year 1,geography,Yes,To go to class,2,10,2024-09-27,No,LT27 / S17,UTown,D2,1900-01-01 15:30:00,Rainy,35,20,3,9,3,3,3,3
Year 3,global studies,No,To go to class,4,40,2024-10-11,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,35,6,5,8,4,6,7,6
Year 2,mathematics,No,To go to class,2,20,2024-10-08,Yes,COM3,IT / CLB,D1,1900-01-01 15:56:00,Sunny,5,5,8,4,8,8,8,8
Year 3,data science and analytics,No,To go to class,3,30,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 10:30:00,Rainy,20,1,9,5,7,7,8,8
Year 4,anthropology,No,To go to class,2,5,2024-10-15,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 10:10:00,Sunny,20,10,3,9,3,3,3,3
Year 3,economics,Yes,To go to CCA sessions,2,10,2024-10-09,No,IT / CLB,UHC / Opp UHC,A2,1900-01-01 14:15:00,Sunny,25,8,4,9,5,4,4,4
Year 2,biomedical engineering,No,To go to class,3,40,2024-10-21,No,LT13 / Ventus,UTown,D1,1900-01-01 10:30:00,Sunny,20,15,3,8,3,3,3,4
Year 3,materials science and engineering,No,To go to class,3,30,2024-10-14,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:30:00,Rainy,20,5,3,8,4,5,6,6
Year 1,data science and analytics,No,To go to class,1,5,2024-09-30,No,LT27 / S17,UTown,D2,1900-01-01 09:30:00,Sunny,20,5,7,10,5,5,6,6
Year 3,quantitative finance,No,To go to class,4,20,2024-10-08,Yes,UHC / Opp UHC,LT27 / S17,A2,1900-01-01 14:10:00,Sunny,30,15,3,9,3,6,8,4
Year 3,data science and analytics,No,To go to class,4,10,2024-10-07,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 09:45:00,Sunny,25,11,5,10,3,3,6,5
Year 3,data science and analytics,No,To go to class,3,35,2024-09-30,Yes,UHC / Opp UHC,LT27 / S17,A2,1900-01-01 14:00:00,Sunny,50,20,3,9,2,5,7,4
Year 4,political science,No,To go to class,4,45,2024-10-10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:00:00,Sunny,20,8,7,8,4,8,9,7
Year 4,"politics, philosophy, economics",No,To go to class,3,45,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:40:00,Sunny,15,8,8,3,7,7,6,7
Year 3,statistics,No,To go to class,1,5,2024-10-02,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 19:40:00,Sunny,5,2,5,5,5,5,10,5
Year 1,pharmaceutical science,Yes,To go to class,2,10,2024-09-30,No,UTown,LT27 / S17,D2,1900-01-01 08:40:00,Sunny,25,5,8,8,5,6,8,6
Year 2,history,No,To go to class,4,20,2024-10-01,No,IT / CLB,LT13 / Ventus,A1,1900-01-01 15:17:00,Sunny,8,5,7,5,6,6,6,6
Year 2,global studies,No,To go to CCA sessions,2,30,2024-10-14,No,LT13 / Ventus,UTown,D1,1900-01-01 14:00:00,Sunny,40,5,6,9,3,5,6,5
Year 2,sociology,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,15,2024-10-16,No,PGP,UTown,D2,1900-01-01 20:00:00,Rainy,35,25,1,10,1,1,1,1
Year 4,food science and technology,No,To go to MRT,2,15,2024-10-10,No,PGP,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 09:15:00,Sunny,8,3,5,5,5,5,5,5
Year 4,nursing,No,To go to class,2,5,2024-09-27,No,LT27 / S17,IT / CLB,A1,1900-01-01 10:00:00,Sunny,10,7,5,7,4,4,6,5
Year 1,computer science,Yes,To go to class,2,60,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,30,10,8,4,8,9,9,9
Year 2,life sciences,No,To go to class,2,10,2024-10-08,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:25:00,Rainy,10,3,2,6,5,6,5,6
Year 3,dentistry,No,To go to MRT,4,30,2024-10-18,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 19:00:00,Sunny,40,20,1,10,1,1,1,1
Year 3,pharmaceutical science,No,To go to class,2,5,2024-10-03,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 13:40:00,Sunny,15,5,8,5,8,8,8,8
Year 1,computer science,Yes,To go to class,2,15,2024-10-14,No,COM3,UTown,D1,1900-01-01 12:00:00,Sunny,25,15,6,7,6,6,6,6
Year 3,political science,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,2024-10-09,No,PGP,LT13 / Ventus,A2,1900-01-01 09:30:00,Sunny,20,10,4,8,5,7,8,7
Year 4,social work,No,"To go to in-school accommodation (halls, RCs, houses etc.)",2,37,2024-10-10,No,Kent Ridge MRT / Opp Kent Ridge MRT,PGP,A2,1900-01-01 09:00:00,Sunny,35,15,5,9,5,6,7,6
Year 3,materials science and engineering,Yes,To go to class,2,20,2024-10-14,No,UTown,IT / CLB,D1,1900-01-01 11:35:00,Rainy,15,7,5,8,3,3,5,5
Year 1,economics,No,To go to class,2,20,2024-10-17,No,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 14:30:00,Rainy,25,15,7,7,7,7,7,7
Year 3,life sciences,No,To go to class,2,10,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 11:48:00,Rainy,10,3,8,5,8,8,8,9
Year 2,chemistry,Yes,To go to class,5,40,2024-10-17,No,UTown,LT27 / S17,D2,1900-01-01 09:51:00,Rainy,40,5,6,9,6,7,9,7
Year 3,mechanical engineering,No,To go to class,4,20,2024-10-09,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:40:00,Rainy,25,10,3,10,3,5,7,5
Year 3,data science and analytics,No,To go to class,2,30,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:40:00,Sunny,40,8,6,6,4,5,7,7
Year 1,environmental studies,No,To go to class,3,40,2024-10-14,No,IT / CLB,LT27 / S17,A2,1900-01-01 12:30:00,Rainy,20,4,10,7,9,10,10,9
Year 1,food science and technology,No,To go to class,2,10,2024-10-08,Yes,IT / CLB,UTown,D1,1900-01-01 16:20:00,Sunny,8,7,4,7,6,7,4,4
Year 2,life sciences,No,To go for meals,3,30,2024-10-17,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 18:40:00,Sunny,15,5,4,5,7,7,8,7
Year 3,data science and analytics,Yes,To go to class,2,10,2024-09-30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 08:00:00,Sunny,10,5,7,5,7,7,8,8
Year 1,law,No,To go to class,2,30,2024-09-28,No,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 10:30:00,Sunny,4,10,7,4,8,8,8,8
Year 3,global studies,No,To go to MRT,2,25,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:00:00,Sunny,15,8,4,6,6,7,8,7
Year 3,data science and analytics,No,To go to class,2,30,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 13:00:00,Sunny,20,5,8,2,8,8,8,8
Year 4,biomedical engineering,No,To go to class,2,35,2024-10-21,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A1,1900-01-01 09:30:00,Sunny,35,18,2,10,1,3,3,3
Year 3,architecture,No,To go to class,2,40,2024-08-10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A1,1900-01-01 13:30:00,Sunny,20,10,6,7,4,6,6,6
Year 3,data science and analytics,No,To go to class,4,10,2024-10-07,Yes,UHC / Opp UHC,IT / CLB,A2,1900-01-01 11:45:00,Sunny,20,6,5,9,4,5,8,6
Year 4,psychology,No,To go to class,3,15,2024-10-02,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 17:00:00,Sunny,10,5,8,5,6,6,9,8
Year 4,business analytics,No,To go for meals,2,15,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:00:00,Sunny,20,4,5,8,3,5,6,5
Year 3,architecture,No,To go to class,2,40,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 15:30:00,Sunny,10,10,7,4,7,6,7,7
Year 1,malay studies,No,To go to class,1,10,2024-10-01,No,IT / CLB,UTown,D1,1900-01-01 18:00:00,Sunny,30,4,7,6,5,5,7,7
Year 3,data science and analytics,No,To go to class,4,35,2024-10-08,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,35,5,6,9,3,3,7,5
Year 1,data science and analytics,No,To go to class,1,10,2024-10-03,Yes,LT27 / S17,UHC / Opp UHC,D2,1900-01-01 09:20:00,Sunny,15,3,7,3,6,7,7,7
Year 2,business analytics,Yes,To go to class,2,20,2024-10-18,No,UHC / Opp UHC,IT / CLB,A1,1900-01-01 09:15:00,Sunny,5,2,8,7,4,6,6,5
Year 2,global studies,No,To go to class,3,35,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 10:00:00,Sunny,20,6,5,7,5,7,8,6
Year 2,life sciences,No,To go to class,4,20,2024-10-07,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:06:00,Sunny,18,5,3,4,8,6,10,9
Year 1,accountancy,Yes,To go to class,2,20,2024-10-04,No,BIZ2 / Opp HSSML,PGP,A1,1900-01-01 19:00:00,Sunny,30,15,2,10,1,3,2,1
Year 4,quantitative finance,No,To go to MRT,2,10,2024-10-10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 07:45:00,Sunny,10,5,8,4,8,8,8,8
Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 17:30:00,Sunny,15,10,7,3,7,7,7,7
Year 3,global studies,No,To go to class,4,40,2024-10-11,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 08:30:00,Rainy,25,4,6,8,3,5,7,6
Year 1,industrial systems engineering,No,To go to class,3,15,2024-10-21,No,LT13 / Ventus,UTown,D1,1900-01-01 18:15:00,Sunny,15,5,8,5,8,7,7,7
Year 3,life sciences,Yes,To go to MRT,1,8,2024-10-09,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 21:15:00,Sunny,10,5,8,7,7,6,5,6
Year 2,biomedical engineering,No,To go to class,3,40,2024-10-21,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A1,1900-01-01 08:30:00,Sunny,25,15,3,7,3,3,4,4
Year 2,data science and analytics,No,To go to CCA sessions,4,18,2024-09-27,No,UTown,UHC / Opp UHC,D2,1900-01-01 15:00:00,Sunny,15,5,7,5,7,6,6,6
Year 3,dentistry,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,2024-09-25,Yes,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:30:00,Rainy,60,10,8,7,8,6,7,7
Year 3,data science and analytics,No,To go to class,3,30,2024-09-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 09:30:00,Sunny,10,5,7,8,4,4,8,6
Year 2,data science and analytics,No,To go for meals,4,20,2024-10-02,No,LT27 / S17,UTown,D2,1900-01-01 12:15:00,Sunny,30,15,3,9,3,3,3,4
Year 3,history,No,To go to class,3,30,2024-10-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 09:50:00,Rainy,45,5,7,10,4,8,9,7
Year 2,business analytics,No,To go to class,3,30,2024-10-14,No,COM3,IT / CLB,D1,1900-01-01 13:40:00,Rainy,15,4,5,6,5,5,6,5
Year 1,geography,Yes,To go to class,2,10,2024-09-30,No,IT / CLB,UTown,D1,1900-01-01 17:50:00,Sunny,25,10,6,8,5,6,8,6
Year 2,business analytics,Yes,To go to class,2,20,2024-10-18,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:00:00,Sunny,15,5,4,7,6,5,7,6
Year 1,life sciences,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",3,30,2024-10-18,No,UHC / Opp UHC,LT27 / S17,A2,1900-01-01 12:30:00,Sunny,5,3,7,5,7,7,9,8
Year 1,sociology,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,15,2024-10-16,No,PGP,UTown,D2,1900-01-01 19:00:00,Sunny,30,20,1,10,1,1,1,1
Year 3,environmental studies,No,To go to class,3,40,2024-10-11,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 09:50:00,Sunny,50,5,8,10,3,6,9,7
Year 3,data science and analytics,No,To go to class,4,35,2024-10-08,Yes,PGP,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:30:00,Sunny,15,6,5,8,3,4,8,6
Year 3,quantitative finance,Yes,To go to class,3,20,2024-10-04,No,LT27 / S17,BIZ2 / Opp HSSML,A2,1900-01-01 15:45:00,Sunny,15,5,8,6,8,7,8,7
Year 4,industrial systems engineering,No,To go for meals,4,20,2024-10-24,No,UHC / Opp UHC,UTown,D2,1900-01-01 12:45:00,Sunny,10,20,1,10,1,1,1,1
Year 4,psychology,No,To go to class,4,40,2024-10-14,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 14:00:00,Rainy,25,4,6,6,6,7,7,8
Year 3,data science and analytics,No,To go to class,2,25,2024-10-16,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 15:00:00,Rainy,30,5,6,8,4,6,8,6
Year 3,malay studies,No,To go to class,3,30,2024-10-15,No,IT / CLB,UTown,D1,1900-01-01 14:00:00,Sunny,30,7,3,8,3,6,7,6
Year 3,life sciences,No,To go for meals,0,15,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 09:30:00,Sunny,50,10,4,10,2,3,7,5
Year 3,data science and analytics,No,To go to class,2,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:00:00,Sunny,50,6,8,5,5,6,5,5
Year 3,data science and analytics,No,To go to class,4,25,2024-10-03,Yes,LT27 / S17,UHC / Opp UHC,D2,1900-01-01 18:00:00,Sunny,25,2,8,7,4,6,8,6
Year 3,industrial systems engineering,No,To go to CCA sessions,2,10,2024-10-23,No,LT13 / Ventus,UHC / Opp UHC,A1,1900-01-01 11:15:00,Rainy,5,5,8,3,7,7,7,7
Year 1,chemistry,No,To go to class,4,40,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 09:30:00,Rainy,55,5,8,10,4,7,9,7
Year 4,history,No,To go to class,2,22,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:45:00,Sunny,30,5,6,8,8,7,7,7
Year 3,chemistry,No,To go to class,6,30,2024-10-07,Yes,UHC / Opp UHC,UTown,D2,1900-01-01 18:00:00,Sunny,20,10,4,10,3,6,8,4
Year 3,environmental engineering,No,To go for meals,2,20,2024-10-11,No,LT27 / S17,IT / CLB,A1,1900-01-01 12:00:00,Sunny,15,3,6,8,3,3,5,5
Year 4,anthropology,No,To go to class,2,8,2024-10-08,No,LT13 / Ventus,COM3,D1,1900-01-01 12:36:00,Sunny,10,10,3,4,7,6,6,6
Year 4,economics,No,To go to class,2,10,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 15:00:00,Sunny,3,3,10,1,10,10,10,10
